"Treatment","Gender","StressReduction","ReductionLevel","ReductionLevelGroup"
"Medical","Female",1,"(0.996,2.33]","Low"
"Medical","Female",1,"(0.996,2.33]","Low"
"Medical","Female",1,"(0.996,2.33]","Low"
"Medical","Female",1,"(0.996,2.33]","Low"
"Medical","Female",2,"(0.996,2.33]","Low"
"Medical","Female",2,"(0.996,2.33]","Low"
"Medical","Female",3,"(2.33,3.67]","Medium"
"Medical","Female",3,"(2.33,3.67]","Medium"
"Medical","Female",3,"(2.33,3.67]","Medium"
"Medical","Female",3,"(2.33,3.67]","Medium"
"Medical","Male",1,"(0.996,2.33]","Low"
"Medical","Male",1,"(0.996,2.33]","Low"
"Medical","Male",2,"(0.996,2.33]","Low"
"Medical","Male",2,"(0.996,2.33]","Low"
"Medical","Male",2,"(0.996,2.33]","Low"
"Medical","Male",2,"(0.996,2.33]","Low"
"Medical","Male",2,"(0.996,2.33]","Low"
"Medical","Male",2,"(0.996,2.33]","Low"
"Medical","Male",3,"(2.33,3.67]","Medium"
"Medical","Male",3,"(2.33,3.67]","Medium"
"Mental","Female",3,"(2.33,3.67]","Medium"
"Mental","Female",3,"(2.33,3.67]","Medium"
"Mental","Female",4,"(3.67,5]","High"
"Mental","Female",4,"(3.67,5]","High"
"Mental","Female",4,"(3.67,5]","High"
"Mental","Female",4,"(3.67,5]","High"
"Mental","Female",4,"(3.67,5]","High"
"Mental","Female",4,"(3.67,5]","High"
"Mental","Female",5,"(3.67,5]","High"
"Mental","Female",5,"(3.67,5]","High"
"Mental","Male",2,"(0.996,2.33]","Low"
"Mental","Male",2,"(0.996,2.33]","Low"
"Mental","Male",2,"(0.996,2.33]","Low"
"Mental","Male",2,"(0.996,2.33]","Low"
"Mental","Male",3,"(2.33,3.67]","Medium"
"Mental","Male",3,"(2.33,3.67]","Medium"
"Mental","Male",4,"(3.67,5]","High"
"Mental","Male",4,"(3.67,5]","High"
"Mental","Male",4,"(3.67,5]","High"
"Mental","Male",4,"(3.67,5]","High"
"physical","Female",1,"(0.996,2.33]","Low"
"physical","Female",1,"(0.996,2.33]","Low"
"physical","Female",1,"(0.996,2.33]","Low"
"physical","Female",1,"(0.996,2.33]","Low"
"physical","Female",2,"(0.996,2.33]","Low"
"physical","Female",2,"(0.996,2.33]","Low"
"physical","Female",3,"(2.33,3.67]","Medium"
"physical","Female",3,"(2.33,3.67]","Medium"
"physical","Female",3,"(2.33,3.67]","Medium"
"physical","Female",3,"(2.33,3.67]","Medium"
"physical","Male",3,"(2.33,3.67]","Medium"
"physical","Male",3,"(2.33,3.67]","Medium"
"physical","Male",4,"(3.67,5]","High"
"physical","Male",4,"(3.67,5]","High"
"physical","Male",4,"(3.67,5]","High"
"physical","Male",4,"(3.67,5]","High"
"physical","Male",4,"(3.67,5]","High"
"physical","Male",4,"(3.67,5]","High"
"physical","Male",5,"(3.67,5]","High"
"physical","Male",5,"(3.67,5]","High"
